,ID,Complete All,Finished,Public Profile,Getting Started with Google Kubernetes Engine,Google Cloud Fundamentals: Core Infrastructure,Essential Google Cloud Infrastructure: Foundation,Essential Google Cloud Infrastructure: Core Services,Optimize Costs for Google Kubernetes Engine,Build Infrastructure with Terraform on Google Cloud
87,220131698,Yes,6,https://www.cloudskillsboost.google/public_profiles/425f8493-3bd1-45e9-b20d-0f18af59f453,X,X,X,X,X,X
88,220174545,No,5,https://www.cloudskillsboost.google/public_profiles/bdc386e6-984b-4bd9-9bca-636ded9554ee,X,X,X,X,,X
86,220255799,No,1,https://www.cloudskillsboost.google/public_profiles/33cec070-ecca-40ec-a0e2-306266ecf23c?locale=zh,,,,,,X
90,220262465,No,0,https://www.cloudskillsboost.google/public_profiles/94773e03-6e50-4bc1-bdef-e1861bff37e9,,,,,,
61,230000997,Yes,6,https://www.cloudskillsboost.google/public_profiles/543c1af2-f0fc-4bd1-9de7-f4e7f03919e7,X,X,X,X,X,X
7,230021864,No,2,https://www.cloudskillsboost.google/public_profiles/066a1f94-7d04-4a72-98fd-dbb43e03f558,X,X,,,,
52,230029966,Yes,6,https://www.cloudskillsboost.google/public_profiles/e5077e16-e2ad-4f37-80a1-b9a13895fd71,X,X,X,X,X,X
71,230030824,Yes,6,https://www.cloudskillsboost.google/public_profiles/2398446b-5539-4322-abd6-7d3173fc97b3,X,X,X,X,X,X
38,230033144,Yes,6,https://www.cloudskillsboost.google/public_profiles/2d96033e-7e45-4d3b-b69e-63d41d82c0af,X,X,X,X,X,X
22,230033980,Yes,6,https://www.cloudskillsboost.google/public_profiles/e8433e1b-ac0a-4b28-863d-92b5f2911b43,X,X,X,X,X,X
18,230033992,Yes,6,https://www.cloudskillsboost.google/public_profiles/d5bfee05-2fa4-4e6e-9bc1-28b6ef9d9c26,X,X,X,X,X,X
44,230034000,Yes,6,https://www.cloudskillsboost.google/public_profiles/37e3a152-195e-4f2c-ae5b-b4e9d16c3c08,X,X,X,X,X,X
28,230034663,Yes,6,https://www.cloudskillsboost.google/public_profiles/3eba76d8-a383-4270-8f89-f7bdd06b70c0,X,X,X,X,X,X
34,230035008,Yes,6,https://www.cloudskillsboost.google/public_profiles/c08e16b4-ab6e-4f7b-8c56-9bff41031c95,X,X,X,X,X,X
46,230036515,Yes,6,https://www.cloudskillsboost.google/public_profiles/db4387a4-3a7d-4509-b453-d7de99ea899a,X,X,X,X,X,X
75,230036889,No,0,https://www.cloudskillsboost.google/public_profiles/58dcc0c4-cefc-46d3-b64e-9d906c7537c3,,,,,,
70,230037192,Yes,6,https://www.cloudskillsboost.google/public_profiles/bdb47547-7ae4-4a4a-b951-7ed901eba284,X,X,X,X,X,X
63,230037561,No,1,https://www.cloudskillsboost.google/public_profiles/27e8e897-de75-4283-932a-79c0c26f9497,X,,,,,
31,230038084,Yes,6,https://www.cloudskillsboost.google/public_profiles/ae5b92a1-325b-4653-b9a7-65fa209656d5,X,X,X,X,X,X
4,230039081,Yes,6,https://www.cloudskillsboost.google/public_profiles/0df7859a-2b6d-4a77-be36-25ed7445af3e,X,X,X,X,X,X
81,230039972,No,0,https://www.cloudskillsboost.google/public_profiles/26f6b98d-2d6c-46a5-b81d-efc04bd5d360,,,,,,
77,230040319,Yes,6,https://www.cloudskillsboost.google/public_profiles/96342eca-da4b-40ba-9e03-d6aac37f1aca,X,X,X,X,X,X
32,230042860,Yes,6,https://www.cloudskillsboost.google/public_profiles/9bcae663-f314-4831-a3e3-40d5bae8f987,X,X,X,X,X,X
89,230042915,No,5,https://www.cloudskillsboost.google/public_profiles/ffda0b85-9b39-492b-84a8-bd69436af093,,X,X,X,X,X
11,230044620,Yes,6,https://www.cloudskillsboost.google/public_profiles/214251ae-e5d7-4570-94f4-6a4b5cec6028 ,X,X,X,X,X,X
47,230045874,No,1,https://www.cloudskillsboost.google/public_profiles/f56fed22-01fd-4043-bfae-bc6a32c1cfa6,X,,,,,
20,230046521,No,1,https://www.cloudskillsboost.google/public_profiles/5afd3320-13d7-4b20-acad-fc130e2dfe33,X,,,,,
25,230047321,Yes,6,https://www.cloudskillsboost.google/public_profiles/8dbdac55-e6b7-4fd8-91a0-c527956f6c75,X,X,X,X,X,X
9,230049222,No,5,https://www.cloudskillsboost.google/public_profiles/3592a006-a7f2-4c69-8607-6028e9c47f24,X,X,X,X,,X
78,230054139,No,0,https://www.cloudskillsboost.google/public_profiles/1d095f1c-e2bc-4173-b3f2-0510eb1c000d,,,,,,
43,230054582,No,0,https://www.cloudskillsboost.google/public_profiles/592b3c89-4c4c-4478-8776-90fe40917d28,,,,,,
66,230056495,No,1,https://www.cloudskillsboost.google/public_profiles/ba8bb3d2-8407-4157-a8f0-4befbf3fe462,X,,,,,
5,230056839,Yes,6,https://www.cloudskillsboost.google/public_profiles/2fd623a4-16b2-4687-8da1-e712c87c25a3,X,X,X,X,X,X
2,230059448,Yes,6,https://www.cloudskillsboost.google/public_profiles/6a1d6794-4697-4481-8a55-c3eec8e7b3b3,X,X,X,X,X,X
69,230060712,No,1,https://www.cloudskillsboost.google/public_profiles/7fbd40b2-776b-4ba2-8f7c-3c7a724651d8,X,,,,,
37,230065744,No,5,https://www.cloudskillsboost.google/public_profiles/5ccc222d-924e-4cdf-9b4f-50bce5b251dc,X,X,,X,X,X
65,230066821,No,1,https://www.cloudskillsboost.google/public_profiles/c94a7ab2-6130-47bf-9465-74804c1f8568,X,,,,,
15,230070545,Yes,6,https://www.cloudskillsboost.google/public_profiles/725b86cc-8749-42cf-a110-da1ddf1032b6,X,X,X,X,X,X
85,230074777,Yes,6,https://www.cloudskillsboost.google/public_profiles/fbe4154a-5787-4d51-afff-d972e4de43a8,X,X,X,X,X,X
8,230075983,Yes,6,https://www.cloudskillsboost.google/public_profiles/44cec28e-5a1f-4e62-aa35-2f94c401ebd4,X,X,X,X,X,X
72,230077675,Yes,6,https://www.cloudskillsboost.google/public_profiles/f899486c-7239-479d-a49a-bec68a6f34f2,X,X,X,X,X,X
39,230084408,No,2,https://www.cloudskillsboost.google/public_profiles/c691ad28-f64c-40df-afea-622f883f5813,,X,,,,X
64,230085651,Yes,6,https://www.cloudskillsboost.google/public_profiles/be0f30db-b244-4b5c-a75c-1677d813315e,X,X,X,X,X,X
80,230087343,No,0,https://www.cloudskillsboost.google/public_profiles/154c9171-5059-431d-b4c9-3d3f48efe90e,,,,,,
14,230087933,No,0,https://www.cloudskillsboost.google/public_profiles/be4b1968-f57d-4295-8c11-d05de9fb8264,,,,,,
30,230090833,No,2,https://www.cloudskillsboost.google/public_profiles/ed467c44-95bc-4f9e-b066-5fc65bef8a50,,X,X,,,
